activation,bn,test_acc_mean,test_acc_std,test_invar_error_mean,test_invar_error_std
gated_shared_sigmoid,IIDbn,0.9892400026321411,0.0002778422147346627,0.1929500162601471,0.005722553131172338
gated_shared_sigmoid,Normbn,0.9892599940299988,0.0005887423173174756,0.19008346498012543,0.004873451992226079
gated_sigmoid,IIDbn,0.9888919949531555,0.0006297105806224552,0.219631826877594,0.0056690287747594575
gated_sigmoid,Normbn,0.9894479990005494,0.00019879530704236406,0.21986594200134277,0.003211595398248242
norm_relu,IIDbn,0.9867520093917846,0.000701364386019413,0.2928527474403381,0.006349139528761373
norm_relu,Normbn,0.9862320065498352,0.0010080315784132007,0.29202923774719236,0.006766338936983539
norm_squash,IIDbn,0.9841480135917664,0.0007828852809222804,0.16225591897964478,0.009572176407534532
norm_squash,Normbn,0.984336006641388,0.0010058123864562327,0.16420438289642333,0.02179400943189464
fourier_elu_16,IIDbn,0.9888599872589111,0.0005344057661316711,0.17336257994174958,0.004446878000877794
fourier_elu_16,Normbn,0.9884649962186813,0.0006053824581236058,0.1747177690267563,0.0010005202491425401
