timestamp,dataset,activation,normalization,repeat_idx,seed,epochs,batch_size,lr,weight_decay,channels_per_block,layers_per_block,kernel_size,pool_stride,pool_sigma,invariant_channels,max_rot_order,img_size,best_val_loss,test_acc,test_loss,best_ckpt,device,cuda_name,status
2025-10-06T10:57:20,colorectal_hist,gated_relu,IIDbn,0,0,200,32,0.001,0.0001,"[16, 32, 64, 128]",2,5,2,0.9,128,2,128,,,,,cuda,NVIDIA L40S,ERROR: AttributeError: 'NoneType' object has no attribute 'get'
2025-10-06T10:57:50,colorectal_hist,gated_relu,IIDbn,1,1,200,32,0.001,0.0001,"[16, 32, 64, 128]",2,5,2,0.9,128,2,128,,,,,cuda,NVIDIA L40S,ERROR: AttributeError: 'NoneType' object has no attribute 'get'
2025-10-06T10:58:21,colorectal_hist,gated_relu,IIDbn,2,2,200,32,0.001,0.0001,"[16, 32, 64, 128]",2,5,2,0.9,128,2,128,,,,,cuda,NVIDIA L40S,ERROR: AttributeError: 'NoneType' object has no attribute 'get'
2025-10-06T11:04:47,colorectal_hist,gated_relu,Normbn,0,0,200,32,0.001,0.0001,"[16, 32, 64, 128]",2,5,2,0.9,128,2,128,,,,,cuda,NVIDIA L40S,ERROR: AttributeError: 'NoneType' object has no attribute 'get'
2025-10-06T11:11:55,colorectal_hist,gated_relu,Normbn,1,1,200,32,0.001,0.0001,"[16, 32, 64, 128]",2,5,2,0.9,128,2,128,,,,,cuda,NVIDIA L40S,ERROR: AttributeError: 'NoneType' object has no attribute 'get'
2025-10-06T11:19:42,colorectal_hist,gated_relu,Normbn,2,2,200,32,0.001,0.0001,"[16, 32, 64, 128]",2,5,2,0.9,128,2,128,,,,,cuda,NVIDIA L40S,ERROR: AttributeError: 'NoneType' object has no attribute 'get'
2025-10-06T11:25:33,colorectal_hist,gated_relu,FieldNorm,0,0,200,32,0.001,0.0001,"[16, 32, 64, 128]",2,5,2,0.9,128,2,128,,,,,cuda,NVIDIA L40S,ERROR: AttributeError: 'NoneType' object has no attribute 'get'
2025-10-06T11:30:38,colorectal_hist,gated_relu,FieldNorm,1,1,200,32,0.001,0.0001,"[16, 32, 64, 128]",2,5,2,0.9,128,2,128,,,,,cuda,NVIDIA L40S,ERROR: AttributeError: 'NoneType' object has no attribute 'get'
2025-10-06T11:35:39,colorectal_hist,gated_relu,FieldNorm,2,2,200,32,0.001,0.0001,"[16, 32, 64, 128]",2,5,2,0.9,128,2,128,,,,,cuda,NVIDIA L40S,ERROR: AttributeError: 'NoneType' object has no attribute 'get'
2025-10-06T11:35:51,colorectal_hist,gated_relu,GNormBatchNorm,0,0,200,32,0.001,0.0001,"[16, 32, 64, 128]",2,5,2,0.9,128,2,128,,,,,cuda,NVIDIA L40S,"ERROR: RuntimeError: [1]: params[4] in this process with sizes [16, 0] appears not to match sizes of the same param in process 0."
