dataset,model_type,activation,bn,aug,seed,test_acc,train_time_minutes,num_params
colorectal_hist,equivariant,fourier_relu_16,Normbn,False,0,0.933333,56.2,371384
colorectal_hist,equivariant,fourier_relu_16,Normbn,False,1,0.941333,47.0,371384
colorectal_hist,equivariant,fourier_relu_16,Normbn,False,2,0.933333,51.07,371384
colorectal_hist,equivariant,fourier_relu_16,Normbn,False,3,0.941333,47.12,371384
colorectal_hist,equivariant,fourier_relu_16,Normbn,False,4,0.930667,52.23,371384
colorectal_hist,equivariant,fourier_relu_16,Normbn,True,0,0.946667,47.22,371384
colorectal_hist,equivariant,fourier_relu_16,Normbn,True,1,0.944,54.47,371384
colorectal_hist,equivariant,fourier_relu_16,Normbn,True,2,0.933333,46.67,371384
colorectal_hist,equivariant,fourier_relu_16,Normbn,True,3,0.936,52.97,371384
colorectal_hist,equivariant,fourier_relu_16,Normbn,True,4,0.938667,46.55,371384
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,False,0,0.936,42.93,370544
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,False,1,0.944,37.58,370544
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,False,2,0.933333,43.28,370544
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,False,3,0.933333,36.93,370544
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,False,4,0.930667,46.03,370544
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,True,0,0.941333,36.65,370544
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,True,1,0.946667,42.35,370544
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,True,2,0.941333,37.22,370544
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,True,3,0.957333,43.18,370544
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,True,4,0.949333,37.35,370544
colorectal_hist,equivariant,fourierbn_relu_32,Normbn,False,0,0.936,69.35,370544
colorectal_hist,equivariant,fourierbn_relu_32,Normbn,False,1,0.936,48.13,370544
colorectal_hist,equivariant,fourierbn_relu_32,Normbn,False,2,0.922667,48.17,370544
colorectal_hist,equivariant,fourierbn_relu_32,Normbn,False,3,0.925333,68.68,370544
colorectal_hist,equivariant,fourierbn_relu_32,Normbn,False,4,0.936,48.2,370544
colorectal_hist,equivariant,fourierbn_relu_32,Normbn,True,0,0.946667,48.18,370544
colorectal_hist,equivariant,fourierbn_relu_32,Normbn,True,1,0.949333,69.82,370544
colorectal_hist,equivariant,fourierbn_relu_32,Normbn,True,2,0.944,48.25,370544
colorectal_hist,equivariant,fourierbn_relu_32,Normbn,True,3,0.962667,68.12,370544
colorectal_hist,equivariant,fourierbn_relu_32,Normbn,True,4,0.936,48.13,370544
colorectal_hist,equivariant,gated_shared_sigmoid,Normbn,False,0,0.912,43.58,371640
colorectal_hist,equivariant,gated_shared_sigmoid,Normbn,False,1,0.92,39.7,371640
colorectal_hist,equivariant,gated_shared_sigmoid,Normbn,False,2,0.928,44.05,371640
colorectal_hist,equivariant,gated_shared_sigmoid,Normbn,False,3,0.936,39.35,371640
colorectal_hist,equivariant,gated_shared_sigmoid,Normbn,False,4,0.92,39.92,371640
colorectal_hist,equivariant,gated_shared_sigmoid,Normbn,True,0,0.944,39.95,371640
colorectal_hist,equivariant,gated_shared_sigmoid,Normbn,True,1,0.936,45.03,371640
colorectal_hist,equivariant,gated_shared_sigmoid,Normbn,True,2,0.952,40.05,371640
colorectal_hist,equivariant,gated_shared_sigmoid,Normbn,True,3,0.946667,45.75,371640
colorectal_hist,equivariant,gated_shared_sigmoid,Normbn,True,4,0.944,39.83,371640
colorectal_hist,equivariant,gated_sigmoid,Normbn,False,0,0.936,49.07,383654
colorectal_hist,equivariant,gated_sigmoid,Normbn,False,1,0.92,44.55,383654
colorectal_hist,equivariant,gated_sigmoid,Normbn,False,2,0.930667,47.2,383654
colorectal_hist,equivariant,gated_sigmoid,Normbn,False,3,0.917333,44.17,383654
colorectal_hist,equivariant,gated_sigmoid,Normbn,False,4,0.914667,49.7,383654
colorectal_hist,equivariant,gated_sigmoid,Normbn,True,0,0.952,44.78,383654
colorectal_hist,equivariant,gated_sigmoid,Normbn,True,1,0.944,48.95,383654
colorectal_hist,equivariant,gated_sigmoid,Normbn,True,2,0.944,44.87,383654
colorectal_hist,equivariant,gated_sigmoid,Normbn,True,3,0.949333,48.05,383654
colorectal_hist,equivariant,gated_sigmoid,Normbn,True,4,0.933333,44.82,383654
colorectal_hist,equivariant,norm_relu,Normbn,False,0,0.906667,49.52,372224
colorectal_hist,equivariant,norm_relu,Normbn,False,1,0.888,46.3,372224
colorectal_hist,equivariant,norm_relu,Normbn,False,2,0.898667,48.8,372224
colorectal_hist,equivariant,norm_relu,Normbn,False,3,0.904,45.8,372224
colorectal_hist,equivariant,norm_relu,Normbn,False,4,0.917333,50.78,372224
colorectal_hist,equivariant,norm_relu,Normbn,True,0,0.933333,45.95,372224
colorectal_hist,equivariant,norm_relu,Normbn,True,1,0.909333,48.72,372224
colorectal_hist,equivariant,norm_relu,Normbn,True,2,0.922667,46.05,372224
colorectal_hist,equivariant,norm_relu,Normbn,True,3,0.914667,49.07,372224
colorectal_hist,equivariant,norm_relu,Normbn,True,4,0.92,46.63,372224
colorectal_hist,equivariant,normbn_relu,Normbn,False,0,0.893333,39.15,372224
colorectal_hist,equivariant,normbn_relu,Normbn,False,1,0.861333,36.0,372224
colorectal_hist,equivariant,normbn_relu,Normbn,False,2,0.864,38.98,372224
colorectal_hist,equivariant,normbn_relu,Normbn,False,3,0.88,36.12,372224
colorectal_hist,equivariant,normbn_relu,Normbn,False,4,0.882667,38.82,372224
colorectal_hist,equivariant,normbn_relu,Normbn,True,0,0.909333,36.47,372224
colorectal_hist,equivariant,normbn_relu,Normbn,True,1,0.92,40.6,372224
colorectal_hist,equivariant,normbn_relu,Normbn,True,2,0.925333,36.68,372224
colorectal_hist,equivariant,normbn_relu,Normbn,True,3,0.914667,38.78,372224
colorectal_hist,equivariant,normbn_relu,Normbn,True,4,0.912,36.17,372224
colorectal_hist,equivariant,normbnvec_relu,Normbn,False,0,0.914667,39.15,372224
colorectal_hist,equivariant,normbnvec_relu,Normbn,False,1,0.904,36.38,372224
colorectal_hist,equivariant,normbnvec_relu,Normbn,False,2,0.877333,36.53,372224
colorectal_hist,equivariant,normbnvec_relu,Normbn,False,3,0.893333,39.13,372224
colorectal_hist,equivariant,normbnvec_relu,Normbn,False,4,0.874667,37.95,372224
colorectal_hist,equivariant,normbnvec_relu,Normbn,True,0,0.92,36.58,372224
colorectal_hist,equivariant,normbnvec_relu,Normbn,True,1,0.928,38.98,372224
colorectal_hist,equivariant,normbnvec_relu,Normbn,True,2,0.925333,36.33,372224
colorectal_hist,equivariant,normbnvec_relu,Normbn,True,3,0.904,39.07,372224
colorectal_hist,equivariant,normbnvec_relu,Normbn,True,4,0.938667,36.25,372224
colorectal_hist,resnet18,norm_relu,Normbn,False,0,0.885333,5.32,11180616
colorectal_hist,resnet18,norm_relu,Normbn,False,1,0.898667,5.05,11180616
colorectal_hist,resnet18,norm_relu,Normbn,False,2,0.88,4.18,11180616
colorectal_hist,resnet18,norm_relu,Normbn,False,3,0.890667,4.13,11180616
colorectal_hist,resnet18,norm_relu,Normbn,False,4,0.826667,4.12,11180616
colorectal_hist,resnet18,norm_relu,Normbn,True,0,0.962667,4.82,11180616
colorectal_hist,resnet18,norm_relu,Normbn,True,1,0.968,6.73,11180616
colorectal_hist,resnet18,norm_relu,Normbn,True,2,0.968,4.52,11180616
colorectal_hist,resnet18,norm_relu,Normbn,True,3,0.970667,4.53,11180616
colorectal_hist,resnet18,norm_relu,Normbn,True,4,0.970667,4.52,11180616
eurosat,equivariant,fourier_relu_16,Normbn,False,0,0.96,98.98,1243162
eurosat,equivariant,fourier_relu_16,Normbn,False,1,0.972963,89.53,1243162
eurosat,equivariant,fourier_relu_16,Normbn,False,2,0.963889,104.48,1243162
eurosat,equivariant,fourier_relu_16,Normbn,False,3,0.959259,89.87,1243162
eurosat,equivariant,fourier_relu_16,Normbn,False,4,0.972593,102.43,1243162
eurosat,equivariant,fourier_relu_16,Normbn,True,0,0.973148,97.15,1243162
eurosat,equivariant,fourier_relu_16,Normbn,True,1,0.971482,88.0,1243162
eurosat,equivariant,fourier_relu_16,Normbn,True,2,0.972963,87.12,1243162
eurosat,equivariant,fourier_relu_16,Normbn,True,3,0.966111,101.75,1243162
eurosat,equivariant,fourier_relu_16,Normbn,True,4,0.976111,87.98,1243162
