dataset,model_type,activation,bn,aug,seed,test_acc,train_time_minutes,num_params,invariance_error
colorectal_hist,equivariant,fourier_relu_16,Normbn,False,0,0.933333,56.2,371384,0.1012284830212593
colorectal_hist,equivariant,fourier_relu_16,Normbn,False,1,0.941333,47.0,371384,0.1014377549290657
colorectal_hist,equivariant,fourier_relu_16,Normbn,False,2,0.933333,51.07,371384,0.0972772538661956
colorectal_hist,equivariant,fourier_relu_16,Normbn,False,3,0.941333,47.12,371384,0.0990847572684288
colorectal_hist,equivariant,fourier_relu_16,Normbn,False,4,0.930667,52.23,371384,0.0935295894742012
colorectal_hist,equivariant,fourier_relu_16,Normbn,True,0,0.946667,47.22,371384,0.0895624607801437
colorectal_hist,equivariant,fourier_relu_16,Normbn,True,1,0.944,54.47,371384,0.0885132625699043
colorectal_hist,equivariant,fourier_relu_16,Normbn,True,2,0.933333,46.67,371384,0.0857832059264183
colorectal_hist,equivariant,fourier_relu_16,Normbn,True,3,0.936,52.97,371384,0.088877260684967
colorectal_hist,equivariant,fourier_relu_16,Normbn,True,4,0.938667,46.55,371384,0.088227778673172
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,False,0,0.936,42.93,370544,0.0924715474247932
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,False,1,0.944,37.58,370544,0.0958053767681121
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,False,2,0.933333,43.28,370544,0.0892700552940368
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,False,3,0.933333,36.93,370544,0.0928945094347
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,False,4,0.930667,46.03,370544,0.0892502963542938
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,True,0,0.941333,36.65,370544,0.0771293267607688
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,True,1,0.946667,42.35,370544,0.075078397989273
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,True,2,0.941333,37.22,370544,0.0708988606929779
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,True,3,0.957333,43.18,370544,0.0717882141470909
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,True,4,0.949333,37.35,370544,0.0693229511380195
colorectal_hist,equivariant,fourierbn_relu_32,Normbn,False,0,0.936,69.35,370544,0.0925044938921928
colorectal_hist,equivariant,fourierbn_relu_32,Normbn,False,1,0.936,48.13,370544,0.094865895807743
colorectal_hist,equivariant,fourierbn_relu_32,Normbn,False,2,0.922667,48.17,370544,0.0910627022385597
colorectal_hist,equivariant,fourierbn_relu_32,Normbn,False,3,0.925333,68.68,370544,0.0908270180225372
colorectal_hist,equivariant,fourierbn_relu_32,Normbn,False,4,0.936,48.2,370544,0.0877248644828796
colorectal_hist,equivariant,fourierbn_relu_32,Normbn,True,0,0.946667,48.18,370544,0.0760022401809692
colorectal_hist,equivariant,fourierbn_relu_32,Normbn,True,1,0.949333,69.82,370544,0.0749515071511268
colorectal_hist,equivariant,fourierbn_relu_32,Normbn,True,2,0.944,48.25,370544,0.0726988315582275
colorectal_hist,equivariant,fourierbn_relu_32,Normbn,True,3,0.962667,68.12,370544,0.0712380558252334
colorectal_hist,equivariant,fourierbn_relu_32,Normbn,True,4,0.936,48.13,370544,0.0745405778288841
colorectal_hist,equivariant,gated_shared_sigmoid,Normbn,False,0,0.912,43.58,371640,0.1154603511095047
colorectal_hist,equivariant,gated_shared_sigmoid,Normbn,False,1,0.92,39.7,371640,0.1208396330475807
