dataset,model_type,activation,bn,aug,seed,test_acc,train_time_minutes,num_params,invariance_error
colorectal_hist,equivariant,fourier_relu_16,Normbn,False,0,0.933333,56.2,371384,0.1070857718586921
colorectal_hist,equivariant,fourier_relu_16,Normbn,False,1,0.941333,47.0,371384,0.1076460778713226
colorectal_hist,equivariant,fourier_relu_16,Normbn,False,2,0.933333,51.07,371384,0.1026656478643417
colorectal_hist,equivariant,fourier_relu_16,Normbn,False,3,0.941333,47.12,371384,0.1047192215919494
colorectal_hist,equivariant,fourier_relu_16,Normbn,False,4,0.930667,52.23,371384,0.0986810773611068
colorectal_hist,equivariant,fourier_relu_16,Normbn,True,0,0.946667,47.22,371384,0.0950362533330917
colorectal_hist,equivariant,fourier_relu_16,Normbn,True,1,0.944,54.47,371384,0.0943859815597534
colorectal_hist,equivariant,fourier_relu_16,Normbn,True,2,0.933333,46.67,371384,0.0914245992898941
colorectal_hist,equivariant,fourier_relu_16,Normbn,True,3,0.936,52.97,371384,0.094565562903881
colorectal_hist,equivariant,fourier_relu_16,Normbn,True,4,0.938667,46.55,371384,0.0941878855228424
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,False,0,0.936,42.93,370544,0.0976570546627044
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,False,1,0.944,37.58,370544,0.1007176488637924
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,False,2,0.933333,43.28,370544,0.0935585126280784
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,False,3,0.933333,36.93,370544,0.0981304794549942
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,False,4,0.930667,46.03,370544,0.0938769206404686
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,True,0,0.941333,36.65,370544,0.0815584510564804
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,True,1,0.946667,42.35,370544,0.0790269523859024
colorectal_hist,equivariant,fourierbn_relu_16,Normbn,True,2,0.941333,37.22,370544,0.0747088491916656
