checkpoint,model_type,dataset,seed,activation,bn,aug,invariance
equivariant_colorectal_hist_seed0_aug_fourier_relu_16_Normbn.ckpt,equivariant,colorectal_hist,0,fourier_relu_16,Normbn,True,0.08956246078014374
equivariant_colorectal_hist_seed0_noaug_fourier_relu_16_Normbn.ckpt,equivariant,colorectal_hist,0,fourier_relu_16,Normbn,False,0.10122848302125931
equivariant_colorectal_hist_seed1_aug_fourier_relu_16_Normbn.ckpt,equivariant,colorectal_hist,1,fourier_relu_16,Normbn,True,0.08851326256990433
equivariant_colorectal_hist_seed1_noaug_fourier_relu_16_Normbn.ckpt,equivariant,colorectal_hist,1,fourier_relu_16,Normbn,False,0.1014377549290657
equivariant_colorectal_hist_seed2_aug_fourier_relu_16_Normbn.ckpt,equivariant,colorectal_hist,2,fourier_relu_16,Normbn,True,0.0857832059264183
equivariant_colorectal_hist_seed2_noaug_fourier_relu_16_Normbn.ckpt,equivariant,colorectal_hist,2,fourier_relu_16,Normbn,False,0.09727725386619568
equivariant_colorectal_hist_seed3_aug_fourier_relu_16_Normbn.ckpt,equivariant,colorectal_hist,3,fourier_relu_16,Normbn,True,0.08887726068496704
equivariant_colorectal_hist_seed3_noaug_fourier_relu_16_Normbn.ckpt,equivariant,colorectal_hist,3,fourier_relu_16,Normbn,False,0.0990847572684288
equivariant_colorectal_hist_seed4_aug_fourier_relu_16_Normbn.ckpt,equivariant,colorectal_hist,4,fourier_relu_16,Normbn,True,0.088227778673172
equivariant_colorectal_hist_seed4_noaug_fourier_relu_16_Normbn.ckpt,equivariant,colorectal_hist,4,fourier_relu_16,Normbn,False,0.0935295894742012
equivariant_colorectal_hist_seed0_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,colorectal_hist,0,fourierbn_relu_16,Normbn,True,0.07712932676076889
equivariant_colorectal_hist_seed0_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,colorectal_hist,0,fourierbn_relu_16,Normbn,False,0.09247154742479324
equivariant_colorectal_hist_seed1_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,colorectal_hist,1,fourierbn_relu_16,Normbn,True,0.07507839798927307
equivariant_colorectal_hist_seed1_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,colorectal_hist,1,fourierbn_relu_16,Normbn,False,0.09580537676811218
equivariant_colorectal_hist_seed2_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,colorectal_hist,2,fourierbn_relu_16,Normbn,True,0.0708988606929779
equivariant_colorectal_hist_seed2_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,colorectal_hist,2,fourierbn_relu_16,Normbn,False,0.08927005529403687
