checkpoint,model_type,dataset,seed,activation,bn,aug,invariance
resnet18_colorectal_hist_seed0_aug_resnet_scratch.ckpt,resnet18,colorectal_hist,0,resnet_scratch,,True,0.3127683401107788
resnet18_colorectal_hist_seed0_noaug_resnet_scratch.ckpt,resnet18,colorectal_hist,0,resnet_scratch,,False,0.502745509147644
resnet18_colorectal_hist_seed1_aug_resnet_scratch.ckpt,resnet18,colorectal_hist,1,resnet_scratch,,True,0.2781972289085388
resnet18_colorectal_hist_seed1_noaug_resnet_scratch.ckpt,resnet18,colorectal_hist,1,resnet_scratch,,False,0.4704345166683197
resnet18_colorectal_hist_seed2_aug_resnet_scratch.ckpt,resnet18,colorectal_hist,2,resnet_scratch,,True,0.28443416953086853
resnet18_colorectal_hist_seed2_noaug_resnet_scratch.ckpt,resnet18,colorectal_hist,2,resnet_scratch,,False,0.46746498346328735
resnet18_colorectal_hist_seed3_aug_resnet_scratch.ckpt,resnet18,colorectal_hist,3,resnet_scratch,,True,0.26695525646209717
resnet18_colorectal_hist_seed3_noaug_resnet_scratch.ckpt,resnet18,colorectal_hist,3,resnet_scratch,,False,0.3678205907344818
resnet18_colorectal_hist_seed4_aug_resnet_scratch.ckpt,resnet18,colorectal_hist,4,resnet_scratch,,True,0.27316734194755554
resnet18_colorectal_hist_seed4_noaug_resnet_scratch.ckpt,resnet18,colorectal_hist,4,resnet_scratch,,False,0.24599051475524902
