checkpoint,model_type,dataset,seed,activation,bn,aug,invariance
equivariant_colorectal_hist_seed0_aug_fourier_relu_16_Normbn.ckpt,equivariant,colorectal_hist,0,fourier_relu_16,Normbn,True,0.09503625333309174
equivariant_colorectal_hist_seed0_noaug_fourier_relu_16_Normbn.ckpt,equivariant,colorectal_hist,0,fourier_relu_16,Normbn,False,0.10708577185869217
equivariant_colorectal_hist_seed1_aug_fourier_relu_16_Normbn.ckpt,equivariant,colorectal_hist,1,fourier_relu_16,Normbn,True,0.09438598155975342
equivariant_colorectal_hist_seed1_noaug_fourier_relu_16_Normbn.ckpt,equivariant,colorectal_hist,1,fourier_relu_16,Normbn,False,0.10764607787132263
equivariant_colorectal_hist_seed2_aug_fourier_relu_16_Normbn.ckpt,equivariant,colorectal_hist,2,fourier_relu_16,Normbn,True,0.0914245992898941
equivariant_colorectal_hist_seed2_noaug_fourier_relu_16_Normbn.ckpt,equivariant,colorectal_hist,2,fourier_relu_16,Normbn,False,0.10266564786434174
equivariant_colorectal_hist_seed3_aug_fourier_relu_16_Normbn.ckpt,equivariant,colorectal_hist,3,fourier_relu_16,Normbn,True,0.09456556290388107
equivariant_colorectal_hist_seed3_noaug_fourier_relu_16_Normbn.ckpt,equivariant,colorectal_hist,3,fourier_relu_16,Normbn,False,0.10471922159194946
equivariant_colorectal_hist_seed4_aug_fourier_relu_16_Normbn.ckpt,equivariant,colorectal_hist,4,fourier_relu_16,Normbn,True,0.09418788552284241
equivariant_colorectal_hist_seed4_noaug_fourier_relu_16_Normbn.ckpt,equivariant,colorectal_hist,4,fourier_relu_16,Normbn,False,0.09868107736110687
equivariant_colorectal_hist_seed0_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,colorectal_hist,0,fourierbn_relu_16,Normbn,True,0.08155845105648041
equivariant_colorectal_hist_seed0_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,colorectal_hist,0,fourierbn_relu_16,Normbn,False,0.09765705466270447
equivariant_colorectal_hist_seed1_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,colorectal_hist,1,fourierbn_relu_16,Normbn,True,0.0790269523859024
equivariant_colorectal_hist_seed1_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,colorectal_hist,1,fourierbn_relu_16,Normbn,False,0.10071764886379242
equivariant_colorectal_hist_seed2_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,colorectal_hist,2,fourierbn_relu_16,Normbn,True,0.07470884919166565
equivariant_colorectal_hist_seed2_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,colorectal_hist,2,fourierbn_relu_16,Normbn,False,0.09355851262807846
equivariant_colorectal_hist_seed3_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,colorectal_hist,3,fourierbn_relu_16,Normbn,True,0.07588376104831696
equivariant_colorectal_hist_seed3_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,colorectal_hist,3,fourierbn_relu_16,Normbn,False,0.0981304794549942
equivariant_colorectal_hist_seed4_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,colorectal_hist,4,fourierbn_relu_16,Normbn,True,0.07313105463981628
equivariant_colorectal_hist_seed4_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,colorectal_hist,4,fourierbn_relu_16,Normbn,False,0.0938769206404686
equivariant_colorectal_hist_seed0_aug_fourierbn_relu_32_Normbn.ckpt,equivariant,colorectal_hist,0,fourierbn_relu_32,Normbn,True,0.08028055727481842
equivariant_colorectal_hist_seed0_noaug_fourierbn_relu_32_Normbn.ckpt,equivariant,colorectal_hist,0,fourierbn_relu_32,Normbn,False,0.09722474962472916
equivariant_colorectal_hist_seed1_aug_fourierbn_relu_32_Normbn.ckpt,equivariant,colorectal_hist,1,fourierbn_relu_32,Normbn,True,0.07920094579458237
equivariant_colorectal_hist_seed1_noaug_fourierbn_relu_32_Normbn.ckpt,equivariant,colorectal_hist,1,fourierbn_relu_32,Normbn,False,0.09992268681526184
equivariant_colorectal_hist_seed2_aug_fourierbn_relu_32_Normbn.ckpt,equivariant,colorectal_hist,2,fourierbn_relu_32,Normbn,True,0.07637185603380203
equivariant_colorectal_hist_seed2_noaug_fourierbn_relu_32_Normbn.ckpt,equivariant,colorectal_hist,2,fourierbn_relu_32,Normbn,False,0.09610989689826965
equivariant_colorectal_hist_seed3_aug_fourierbn_relu_32_Normbn.ckpt,equivariant,colorectal_hist,3,fourierbn_relu_32,Normbn,True,0.07546920329332352
equivariant_colorectal_hist_seed3_noaug_fourierbn_relu_32_Normbn.ckpt,equivariant,colorectal_hist,3,fourierbn_relu_32,Normbn,False,0.09570857137441635
equivariant_colorectal_hist_seed4_aug_fourierbn_relu_32_Normbn.ckpt,equivariant,colorectal_hist,4,fourierbn_relu_32,Normbn,True,0.07860296219587326
