checkpoint,model_type,dataset,seed,activation,bn,aug,invariance
equivariant_eurosat_seed0_aug_fourier_relu_16_Normbn.ckpt,equivariant,eurosat,0,fourier_relu_16,Normbn,True,0.062903493642807
equivariant_eurosat_seed0_noaug_fourier_relu_16_Normbn.ckpt,equivariant,eurosat,0,fourier_relu_16,Normbn,False,0.07195094972848892
equivariant_eurosat_seed1_aug_fourier_relu_16_Normbn.ckpt,equivariant,eurosat,1,fourier_relu_16,Normbn,True,0.06087750941514969
equivariant_eurosat_seed1_noaug_fourier_relu_16_Normbn.ckpt,equivariant,eurosat,1,fourier_relu_16,Normbn,False,0.07204270362854004
equivariant_eurosat_seed2_aug_fourier_relu_16_Normbn.ckpt,equivariant,eurosat,2,fourier_relu_16,Normbn,True,0.06087259203195572
equivariant_eurosat_seed2_noaug_fourier_relu_16_Normbn.ckpt,equivariant,eurosat,2,fourier_relu_16,Normbn,False,0.06776848435401917
equivariant_eurosat_seed3_aug_fourier_relu_16_Normbn.ckpt,equivariant,eurosat,3,fourier_relu_16,Normbn,True,0.06608431041240692
equivariant_eurosat_seed3_noaug_fourier_relu_16_Normbn.ckpt,equivariant,eurosat,3,fourier_relu_16,Normbn,False,0.07176727056503296
equivariant_eurosat_seed4_aug_fourier_relu_16_Normbn.ckpt,equivariant,eurosat,4,fourier_relu_16,Normbn,True,0.06088516116142273
equivariant_eurosat_seed4_noaug_fourier_relu_16_Normbn.ckpt,equivariant,eurosat,4,fourier_relu_16,Normbn,False,0.0713755413889885
equivariant_eurosat_seed0_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,eurosat,0,fourierbn_relu_16,Normbn,True,0.05346756428480148
equivariant_eurosat_seed0_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,eurosat,0,fourierbn_relu_16,Normbn,False,0.06110362708568573
equivariant_eurosat_seed1_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,eurosat,1,fourierbn_relu_16,Normbn,True,0.05467668175697327
equivariant_eurosat_seed1_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,eurosat,1,fourierbn_relu_16,Normbn,False,0.06136375665664673
equivariant_eurosat_seed2_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,eurosat,2,fourierbn_relu_16,Normbn,True,0.05355560779571533
equivariant_eurosat_seed2_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,eurosat,2,fourierbn_relu_16,Normbn,False,0.06033497303724289
equivariant_eurosat_seed3_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,eurosat,3,fourierbn_relu_16,Normbn,True,0.056936733424663544
