checkpoint,model_type,dataset,seed,activation,bn,aug,invariance
equivariant_eurosat_seed0_aug_fourier_relu_16_Normbn.ckpt,equivariant,eurosat,0,fourier_relu_16,Normbn,True,0.07443780452013016
equivariant_eurosat_seed0_noaug_fourier_relu_16_Normbn.ckpt,equivariant,eurosat,0,fourier_relu_16,Normbn,False,0.08392494171857834
equivariant_eurosat_seed1_aug_fourier_relu_16_Normbn.ckpt,equivariant,eurosat,1,fourier_relu_16,Normbn,True,0.07259278744459152
equivariant_eurosat_seed1_noaug_fourier_relu_16_Normbn.ckpt,equivariant,eurosat,1,fourier_relu_16,Normbn,False,0.08479686826467514
equivariant_eurosat_seed2_aug_fourier_relu_16_Normbn.ckpt,equivariant,eurosat,2,fourier_relu_16,Normbn,True,0.07220825552940369
equivariant_eurosat_seed2_noaug_fourier_relu_16_Normbn.ckpt,equivariant,eurosat,2,fourier_relu_16,Normbn,False,0.07978129386901855
equivariant_eurosat_seed3_aug_fourier_relu_16_Normbn.ckpt,equivariant,eurosat,3,fourier_relu_16,Normbn,True,0.07798734307289124
equivariant_eurosat_seed3_noaug_fourier_relu_16_Normbn.ckpt,equivariant,eurosat,3,fourier_relu_16,Normbn,False,0.0846291184425354
equivariant_eurosat_seed4_aug_fourier_relu_16_Normbn.ckpt,equivariant,eurosat,4,fourier_relu_16,Normbn,True,0.07281149923801422
equivariant_eurosat_seed4_noaug_fourier_relu_16_Normbn.ckpt,equivariant,eurosat,4,fourier_relu_16,Normbn,False,0.0837055966258049
equivariant_eurosat_seed0_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,eurosat,0,fourierbn_relu_16,Normbn,True,0.06298533827066422
equivariant_eurosat_seed0_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,eurosat,0,fourierbn_relu_16,Normbn,False,0.07151610404253006
equivariant_eurosat_seed1_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,eurosat,1,fourierbn_relu_16,Normbn,True,0.06435760855674744
equivariant_eurosat_seed1_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,eurosat,1,fourierbn_relu_16,Normbn,False,0.07121643424034119
equivariant_eurosat_seed2_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,eurosat,2,fourierbn_relu_16,Normbn,True,0.06358836591243744
equivariant_eurosat_seed2_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,eurosat,2,fourierbn_relu_16,Normbn,False,0.0704856812953949
equivariant_eurosat_seed3_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,eurosat,3,fourierbn_relu_16,Normbn,True,0.06708172708749771
equivariant_eurosat_seed3_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,eurosat,3,fourierbn_relu_16,Normbn,False,0.07581505179405212
equivariant_eurosat_seed4_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,eurosat,4,fourierbn_relu_16,Normbn,True,0.06335166841745377
equivariant_eurosat_seed4_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,eurosat,4,fourierbn_relu_16,Normbn,False,0.07341229170560837
equivariant_eurosat_seed0_aug_fourierbn_relu_32_Normbn.ckpt,equivariant,eurosat,0,fourierbn_relu_32,Normbn,True,0.06143276393413544
equivariant_eurosat_seed0_noaug_fourierbn_relu_32_Normbn.ckpt,equivariant,eurosat,0,fourierbn_relu_32,Normbn,False,0.07419788837432861
equivariant_eurosat_seed1_aug_fourierbn_relu_32_Normbn.ckpt,equivariant,eurosat,1,fourierbn_relu_32,Normbn,True,0.061766400933265686
equivariant_eurosat_seed1_noaug_fourierbn_relu_32_Normbn.ckpt,equivariant,eurosat,1,fourierbn_relu_32,Normbn,False,0.0714668482542038
equivariant_eurosat_seed2_aug_fourierbn_relu_32_Normbn.ckpt,equivariant,eurosat,2,fourierbn_relu_32,Normbn,True,0.0646364763379097
equivariant_eurosat_seed2_noaug_fourierbn_relu_32_Normbn.ckpt,equivariant,eurosat,2,fourierbn_relu_32,Normbn,False,0.0712769404053688
equivariant_eurosat_seed3_aug_fourierbn_relu_32_Normbn.ckpt,equivariant,eurosat,3,fourierbn_relu_32,Normbn,True,0.06512561440467834
equivariant_eurosat_seed3_noaug_fourierbn_relu_32_Normbn.ckpt,equivariant,eurosat,3,fourierbn_relu_32,Normbn,False,0.0752069503068924
equivariant_eurosat_seed4_aug_fourierbn_relu_32_Normbn.ckpt,equivariant,eurosat,4,fourierbn_relu_32,Normbn,True,0.06548237800598145
equivariant_eurosat_seed4_noaug_fourierbn_relu_32_Normbn.ckpt,equivariant,eurosat,4,fourierbn_relu_32,Normbn,False,0.07303473353385925
equivariant_eurosat_seed0_aug_gated_shared_sigmoid_Normbn.ckpt,equivariant,eurosat,0,gated_shared_sigmoid,Normbn,True,0.08929875493049622
equivariant_eurosat_seed0_noaug_gated_shared_sigmoid_Normbn.ckpt,equivariant,eurosat,0,gated_shared_sigmoid,Normbn,False,0.09873142838478088
equivariant_eurosat_seed1_aug_gated_shared_sigmoid_Normbn.ckpt,equivariant,eurosat,1,gated_shared_sigmoid,Normbn,True,0.09129081666469574
equivariant_eurosat_seed1_noaug_gated_shared_sigmoid_Normbn.ckpt,equivariant,eurosat,1,gated_shared_sigmoid,Normbn,False,0.09720711410045624
equivariant_eurosat_seed2_aug_gated_shared_sigmoid_Normbn.ckpt,equivariant,eurosat,2,gated_shared_sigmoid,Normbn,True,0.0899970754981041
equivariant_eurosat_seed2_noaug_gated_shared_sigmoid_Normbn.ckpt,equivariant,eurosat,2,gated_shared_sigmoid,Normbn,False,0.09739739447832108
equivariant_eurosat_seed3_aug_gated_shared_sigmoid_Normbn.ckpt,equivariant,eurosat,3,gated_shared_sigmoid,Normbn,True,0.08262138813734055
equivariant_eurosat_seed3_noaug_gated_shared_sigmoid_Normbn.ckpt,equivariant,eurosat,3,gated_shared_sigmoid,Normbn,False,0.09768152236938477
equivariant_eurosat_seed4_aug_gated_shared_sigmoid_Normbn.ckpt,equivariant,eurosat,4,gated_shared_sigmoid,Normbn,True,0.0891115665435791
equivariant_eurosat_seed4_noaug_gated_shared_sigmoid_Normbn.ckpt,equivariant,eurosat,4,gated_shared_sigmoid,Normbn,False,0.09710922092199326
equivariant_eurosat_seed0_aug_gated_sigmoid_Normbn.ckpt,equivariant,eurosat,0,gated_sigmoid,Normbn,True,0.10251961648464203
equivariant_eurosat_seed0_noaug_gated_sigmoid_Normbn.ckpt,equivariant,eurosat,0,gated_sigmoid,Normbn,False,0.11279831826686859
equivariant_eurosat_seed1_aug_gated_sigmoid_Normbn.ckpt,equivariant,eurosat,1,gated_sigmoid,Normbn,True,0.10101927816867828
equivariant_eurosat_seed1_noaug_gated_sigmoid_Normbn.ckpt,equivariant,eurosat,1,gated_sigmoid,Normbn,False,0.116078220307827
equivariant_eurosat_seed2_aug_gated_sigmoid_Normbn.ckpt,equivariant,eurosat,2,gated_sigmoid,Normbn,True,0.10332714021205902
equivariant_eurosat_seed2_noaug_gated_sigmoid_Normbn.ckpt,equivariant,eurosat,2,gated_sigmoid,Normbn,False,0.1206589788198471
equivariant_eurosat_seed3_aug_gated_sigmoid_Normbn.ckpt,equivariant,eurosat,3,gated_sigmoid,Normbn,True,0.10568679869174957
equivariant_eurosat_seed3_noaug_gated_sigmoid_Normbn.ckpt,equivariant,eurosat,3,gated_sigmoid,Normbn,False,0.11798764765262604
equivariant_eurosat_seed4_aug_gated_sigmoid_Normbn.ckpt,equivariant,eurosat,4,gated_sigmoid,Normbn,True,0.10705562680959702
equivariant_eurosat_seed4_noaug_gated_sigmoid_Normbn.ckpt,equivariant,eurosat,4,gated_sigmoid,Normbn,False,0.1212473213672638
equivariant_eurosat_seed0_aug_norm_relu_Normbn.ckpt,equivariant,eurosat,0,norm_relu,Normbn,True,0.12866303324699402
equivariant_eurosat_seed0_noaug_norm_relu_Normbn.ckpt,equivariant,eurosat,0,norm_relu,Normbn,False,0.1371329128742218
equivariant_eurosat_seed1_aug_norm_relu_Normbn.ckpt,equivariant,eurosat,1,norm_relu,Normbn,True,0.11924219131469727
equivariant_eurosat_seed1_noaug_norm_relu_Normbn.ckpt,equivariant,eurosat,1,norm_relu,Normbn,False,0.13382941484451294
equivariant_eurosat_seed2_aug_norm_relu_Normbn.ckpt,equivariant,eurosat,2,norm_relu,Normbn,True,0.12051884084939957
equivariant_eurosat_seed2_noaug_norm_relu_Normbn.ckpt,equivariant,eurosat,2,norm_relu,Normbn,False,0.1332542896270752
equivariant_eurosat_seed3_aug_norm_relu_Normbn.ckpt,equivariant,eurosat,3,norm_relu,Normbn,True,0.11985331028699875
equivariant_eurosat_seed3_noaug_norm_relu_Normbn.ckpt,equivariant,eurosat,3,norm_relu,Normbn,False,0.13558855652809143
equivariant_eurosat_seed4_aug_norm_relu_Normbn.ckpt,equivariant,eurosat,4,norm_relu,Normbn,True,0.11954177916049957
equivariant_eurosat_seed4_noaug_norm_relu_Normbn.ckpt,equivariant,eurosat,4,norm_relu,Normbn,False,0.12916480004787445
equivariant_eurosat_seed0_aug_normbn_relu_Normbn.ckpt,equivariant,eurosat,0,normbn_relu,Normbn,True,0.1435530036687851
equivariant_eurosat_seed0_noaug_normbn_relu_Normbn.ckpt,equivariant,eurosat,0,normbn_relu,Normbn,False,0.16033704578876495
equivariant_eurosat_seed1_aug_normbn_relu_Normbn.ckpt,equivariant,eurosat,1,normbn_relu,Normbn,True,0.14441551268100739
equivariant_eurosat_seed1_noaug_normbn_relu_Normbn.ckpt,equivariant,eurosat,1,normbn_relu,Normbn,False,0.17018082737922668
equivariant_eurosat_seed2_aug_normbn_relu_Normbn.ckpt,equivariant,eurosat,2,normbn_relu,Normbn,True,0.14761684834957123
equivariant_eurosat_seed2_noaug_normbn_relu_Normbn.ckpt,equivariant,eurosat,2,normbn_relu,Normbn,False,0.16868901252746582
equivariant_eurosat_seed3_aug_normbn_relu_Normbn.ckpt,equivariant,eurosat,3,normbn_relu,Normbn,True,0.14497773349285126
equivariant_eurosat_seed3_noaug_normbn_relu_Normbn.ckpt,equivariant,eurosat,3,normbn_relu,Normbn,False,0.17534981667995453
equivariant_eurosat_seed4_aug_normbn_relu_Normbn.ckpt,equivariant,eurosat,4,normbn_relu,Normbn,True,0.1453520953655243
equivariant_eurosat_seed4_noaug_normbn_relu_Normbn.ckpt,equivariant,eurosat,4,normbn_relu,Normbn,False,0.15873847901821136
equivariant_eurosat_seed0_aug_normbnvec_relu_Normbn.ckpt,equivariant,eurosat,0,normbnvec_relu,Normbn,True,0.1394585520029068
equivariant_eurosat_seed0_noaug_normbnvec_relu_Normbn.ckpt,equivariant,eurosat,0,normbnvec_relu,Normbn,False,0.15162116289138794
equivariant_eurosat_seed1_aug_normbnvec_relu_Normbn.ckpt,equivariant,eurosat,1,normbnvec_relu,Normbn,True,0.13785506784915924
equivariant_eurosat_seed1_noaug_normbnvec_relu_Normbn.ckpt,equivariant,eurosat,1,normbnvec_relu,Normbn,False,0.1466028392314911
