checkpoint,model_type,dataset,seed,activation,bn,aug,invariance
equivariant_mnist_rot_seed0_aug_fourier_elu_16_Normbn.ckpt,equivariant,mnist_rot,0,fourier_elu_16,Normbn,True,0.08859586715698242
equivariant_mnist_rot_seed0_noaug_fourier_elu_16_Normbn.ckpt,equivariant,mnist_rot,0,fourier_elu_16,Normbn,False,0.09575927257537842
equivariant_mnist_rot_seed1_aug_fourier_elu_16_Normbn.ckpt,equivariant,mnist_rot,1,fourier_elu_16,Normbn,True,0.08812034875154495
equivariant_mnist_rot_seed1_noaug_fourier_elu_16_Normbn.ckpt,equivariant,mnist_rot,1,fourier_elu_16,Normbn,False,0.09331551939249039
equivariant_mnist_rot_seed2_aug_fourier_elu_16_Normbn.ckpt,equivariant,mnist_rot,2,fourier_elu_16,Normbn,True,0.08566907048225403
equivariant_mnist_rot_seed2_noaug_fourier_elu_16_Normbn.ckpt,equivariant,mnist_rot,2,fourier_elu_16,Normbn,False,0.09429389238357544
equivariant_mnist_rot_seed3_aug_fourier_elu_16_Normbn.ckpt,equivariant,mnist_rot,3,fourier_elu_16,Normbn,True,0.08799418807029724
equivariant_mnist_rot_seed3_noaug_fourier_elu_16_Normbn.ckpt,equivariant,mnist_rot,3,fourier_elu_16,Normbn,False,0.08760756254196167
equivariant_mnist_rot_seed4_aug_fourier_elu_16_Normbn.ckpt,equivariant,mnist_rot,4,fourier_elu_16,Normbn,True,0.08770353347063065
equivariant_mnist_rot_seed4_noaug_fourier_elu_16_Normbn.ckpt,equivariant,mnist_rot,4,fourier_elu_16,Normbn,False,0.09701766073703766
equivariant_mnist_rot_seed0_aug_fourier_relu_16_Normbn.ckpt,equivariant,mnist_rot,0,fourier_relu_16,Normbn,True,0.097495436668396
equivariant_mnist_rot_seed0_noaug_fourier_relu_16_Normbn.ckpt,equivariant,mnist_rot,0,fourier_relu_16,Normbn,False,0.10370233654975891
equivariant_mnist_rot_seed1_aug_fourier_relu_16_Normbn.ckpt,equivariant,mnist_rot,1,fourier_relu_16,Normbn,True,0.09961168467998505
equivariant_mnist_rot_seed1_noaug_fourier_relu_16_Normbn.ckpt,equivariant,mnist_rot,1,fourier_relu_16,Normbn,False,0.10583087056875229
equivariant_mnist_rot_seed2_aug_fourier_relu_16_Normbn.ckpt,equivariant,mnist_rot,2,fourier_relu_16,Normbn,True,0.09704163670539856
equivariant_mnist_rot_seed2_noaug_fourier_relu_16_Normbn.ckpt,equivariant,mnist_rot,2,fourier_relu_16,Normbn,False,0.09965498745441437
equivariant_mnist_rot_seed3_aug_fourier_relu_16_Normbn.ckpt,equivariant,mnist_rot,3,fourier_relu_16,Normbn,True,0.09841446578502655
equivariant_mnist_rot_seed3_noaug_fourier_relu_16_Normbn.ckpt,equivariant,mnist_rot,3,fourier_relu_16,Normbn,False,0.09919364750385284
equivariant_mnist_rot_seed4_aug_fourier_relu_16_Normbn.ckpt,equivariant,mnist_rot,4,fourier_relu_16,Normbn,True,0.09955789893865585
equivariant_mnist_rot_seed4_noaug_fourier_relu_16_Normbn.ckpt,equivariant,mnist_rot,4,fourier_relu_16,Normbn,False,0.09567489475011826
equivariant_mnist_rot_seed0_aug_fourierbn_elu_16_Normbn.ckpt,equivariant,mnist_rot,0,fourierbn_elu_16,Normbn,True,0.09978654980659485
equivariant_mnist_rot_seed0_noaug_fourierbn_elu_16_Normbn.ckpt,equivariant,mnist_rot,0,fourierbn_elu_16,Normbn,False,0.10099925100803375
equivariant_mnist_rot_seed1_aug_fourierbn_elu_16_Normbn.ckpt,equivariant,mnist_rot,1,fourierbn_elu_16,Normbn,True,0.09181080013513565
equivariant_mnist_rot_seed1_noaug_fourierbn_elu_16_Normbn.ckpt,equivariant,mnist_rot,1,fourierbn_elu_16,Normbn,False,0.0955205038189888
equivariant_mnist_rot_seed2_aug_fourierbn_elu_16_Normbn.ckpt,equivariant,mnist_rot,2,fourierbn_elu_16,Normbn,True,0.09798863530158997
equivariant_mnist_rot_seed2_noaug_fourierbn_elu_16_Normbn.ckpt,equivariant,mnist_rot,2,fourierbn_elu_16,Normbn,False,0.09004983305931091
equivariant_mnist_rot_seed3_aug_fourierbn_elu_16_Normbn.ckpt,equivariant,mnist_rot,3,fourierbn_elu_16,Normbn,True,0.09389971196651459
equivariant_mnist_rot_seed3_noaug_fourierbn_elu_16_Normbn.ckpt,equivariant,mnist_rot,3,fourierbn_elu_16,Normbn,False,0.09195056557655334
equivariant_mnist_rot_seed4_aug_fourierbn_elu_16_Normbn.ckpt,equivariant,mnist_rot,4,fourierbn_elu_16,Normbn,True,0.09179459512233734
equivariant_mnist_rot_seed4_noaug_fourierbn_elu_16_Normbn.ckpt,equivariant,mnist_rot,4,fourierbn_elu_16,Normbn,False,0.09318132698535919
equivariant_mnist_rot_seed0_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,mnist_rot,0,fourierbn_relu_16,Normbn,True,0.10980919003486633
equivariant_mnist_rot_seed0_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,mnist_rot,0,fourierbn_relu_16,Normbn,False,0.10038720071315765
equivariant_mnist_rot_seed1_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,mnist_rot,1,fourierbn_relu_16,Normbn,True,0.1223301813006401
equivariant_mnist_rot_seed1_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,mnist_rot,1,fourierbn_relu_16,Normbn,False,0.11161816120147705
equivariant_mnist_rot_seed2_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,mnist_rot,2,fourierbn_relu_16,Normbn,True,0.11288845539093018
equivariant_mnist_rot_seed2_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,mnist_rot,2,fourierbn_relu_16,Normbn,False,0.11473122239112854
equivariant_mnist_rot_seed3_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,mnist_rot,3,fourierbn_relu_16,Normbn,True,0.10650604963302612
equivariant_mnist_rot_seed3_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,mnist_rot,3,fourierbn_relu_16,Normbn,False,0.10879160463809967
equivariant_mnist_rot_seed4_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,mnist_rot,4,fourierbn_relu_16,Normbn,True,0.1135212779045105
equivariant_mnist_rot_seed4_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,mnist_rot,4,fourierbn_relu_16,Normbn,False,0.1063217967748642
equivariant_mnist_rot_seed0_aug_fourierbn_relu_32_Normbn.ckpt,equivariant,mnist_rot,0,fourierbn_relu_32,Normbn,True,0.11937986314296722
