checkpoint,model_type,dataset,seed,activation,bn,aug,invariance
equivariant_mnist_rot_seed0_aug_fourier_elu_16_Normbn.ckpt,equivariant,mnist_rot,0,fourier_elu_16,Normbn,True,0.09071207046508789
equivariant_mnist_rot_seed0_noaug_fourier_elu_16_Normbn.ckpt,equivariant,mnist_rot,0,fourier_elu_16,Normbn,False,0.09827996790409088
equivariant_mnist_rot_seed1_aug_fourier_elu_16_Normbn.ckpt,equivariant,mnist_rot,1,fourier_elu_16,Normbn,True,0.09040309488773346
equivariant_mnist_rot_seed1_noaug_fourier_elu_16_Normbn.ckpt,equivariant,mnist_rot,1,fourier_elu_16,Normbn,False,0.09580548852682114
equivariant_mnist_rot_seed2_aug_fourier_elu_16_Normbn.ckpt,equivariant,mnist_rot,2,fourier_elu_16,Normbn,True,0.0877406895160675
equivariant_mnist_rot_seed2_noaug_fourier_elu_16_Normbn.ckpt,equivariant,mnist_rot,2,fourier_elu_16,Normbn,False,0.096832774579525
equivariant_mnist_rot_seed3_aug_fourier_elu_16_Normbn.ckpt,equivariant,mnist_rot,3,fourier_elu_16,Normbn,True,0.08983531594276428
equivariant_mnist_rot_seed3_noaug_fourier_elu_16_Normbn.ckpt,equivariant,mnist_rot,3,fourier_elu_16,Normbn,False,0.08977136015892029
equivariant_mnist_rot_seed4_aug_fourier_elu_16_Normbn.ckpt,equivariant,mnist_rot,4,fourier_elu_16,Normbn,True,0.08989357203245163
equivariant_mnist_rot_seed4_noaug_fourier_elu_16_Normbn.ckpt,equivariant,mnist_rot,4,fourier_elu_16,Normbn,False,0.09979930520057678
equivariant_mnist_rot_seed0_aug_fourier_relu_16_Normbn.ckpt,equivariant,mnist_rot,0,fourier_relu_16,Normbn,True,0.09958808124065399
equivariant_mnist_rot_seed0_noaug_fourier_relu_16_Normbn.ckpt,equivariant,mnist_rot,0,fourier_relu_16,Normbn,False,0.10593528300523758
equivariant_mnist_rot_seed1_aug_fourier_relu_16_Normbn.ckpt,equivariant,mnist_rot,1,fourier_relu_16,Normbn,True,0.10148997604846954
equivariant_mnist_rot_seed1_noaug_fourier_relu_16_Normbn.ckpt,equivariant,mnist_rot,1,fourier_relu_16,Normbn,False,0.1082620918750763
equivariant_mnist_rot_seed2_aug_fourier_relu_16_Normbn.ckpt,equivariant,mnist_rot,2,fourier_relu_16,Normbn,True,0.09916425496339798
equivariant_mnist_rot_seed2_noaug_fourier_relu_16_Normbn.ckpt,equivariant,mnist_rot,2,fourier_relu_16,Normbn,False,0.10200163722038269
equivariant_mnist_rot_seed3_aug_fourier_relu_16_Normbn.ckpt,equivariant,mnist_rot,3,fourier_relu_16,Normbn,True,0.10046689212322235
equivariant_mnist_rot_seed3_noaug_fourier_relu_16_Normbn.ckpt,equivariant,mnist_rot,3,fourier_relu_16,Normbn,False,0.10130706429481506
equivariant_mnist_rot_seed4_aug_fourier_relu_16_Normbn.ckpt,equivariant,mnist_rot,4,fourier_relu_16,Normbn,True,0.10166320204734802
equivariant_mnist_rot_seed4_noaug_fourier_relu_16_Normbn.ckpt,equivariant,mnist_rot,4,fourier_relu_16,Normbn,False,0.09789924323558807
equivariant_mnist_rot_seed0_aug_fourierbn_elu_16_Normbn.ckpt,equivariant,mnist_rot,0,fourierbn_elu_16,Normbn,True,0.10166328400373459
equivariant_mnist_rot_seed0_noaug_fourierbn_elu_16_Normbn.ckpt,equivariant,mnist_rot,0,fourierbn_elu_16,Normbn,False,0.10322655737400055
equivariant_mnist_rot_seed1_aug_fourierbn_elu_16_Normbn.ckpt,equivariant,mnist_rot,1,fourierbn_elu_16,Normbn,True,0.09389201551675797
equivariant_mnist_rot_seed1_noaug_fourierbn_elu_16_Normbn.ckpt,equivariant,mnist_rot,1,fourierbn_elu_16,Normbn,False,0.09815684705972672
equivariant_mnist_rot_seed2_aug_fourierbn_elu_16_Normbn.ckpt,equivariant,mnist_rot,2,fourierbn_elu_16,Normbn,True,0.099859319627285
equivariant_mnist_rot_seed2_noaug_fourierbn_elu_16_Normbn.ckpt,equivariant,mnist_rot,2,fourierbn_elu_16,Normbn,False,0.09211954474449158
equivariant_mnist_rot_seed3_aug_fourierbn_elu_16_Normbn.ckpt,equivariant,mnist_rot,3,fourierbn_elu_16,Normbn,True,0.09580657631158829
equivariant_mnist_rot_seed3_noaug_fourierbn_elu_16_Normbn.ckpt,equivariant,mnist_rot,3,fourierbn_elu_16,Normbn,False,0.09419824182987213
equivariant_mnist_rot_seed4_aug_fourierbn_elu_16_Normbn.ckpt,equivariant,mnist_rot,4,fourierbn_elu_16,Normbn,True,0.09379345923662186
equivariant_mnist_rot_seed4_noaug_fourierbn_elu_16_Normbn.ckpt,equivariant,mnist_rot,4,fourierbn_elu_16,Normbn,False,0.09534168243408203
equivariant_mnist_rot_seed0_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,mnist_rot,0,fourierbn_relu_16,Normbn,True,0.11143933236598969
equivariant_mnist_rot_seed0_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,mnist_rot,0,fourierbn_relu_16,Normbn,False,0.10244855284690857
equivariant_mnist_rot_seed1_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,mnist_rot,1,fourierbn_relu_16,Normbn,True,0.12417912483215332
equivariant_mnist_rot_seed1_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,mnist_rot,1,fourierbn_relu_16,Normbn,False,0.1135227158665657
equivariant_mnist_rot_seed2_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,mnist_rot,2,fourierbn_relu_16,Normbn,True,0.11462746560573578
equivariant_mnist_rot_seed2_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,mnist_rot,2,fourierbn_relu_16,Normbn,False,0.11642912775278091
equivariant_mnist_rot_seed3_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,mnist_rot,3,fourierbn_relu_16,Normbn,True,0.10829506069421768
equivariant_mnist_rot_seed3_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,mnist_rot,3,fourierbn_relu_16,Normbn,False,0.11032476276159286
equivariant_mnist_rot_seed4_aug_fourierbn_relu_16_Normbn.ckpt,equivariant,mnist_rot,4,fourierbn_relu_16,Normbn,True,0.11532953381538391
equivariant_mnist_rot_seed4_noaug_fourierbn_relu_16_Normbn.ckpt,equivariant,mnist_rot,4,fourierbn_relu_16,Normbn,False,0.1080770343542099
equivariant_mnist_rot_seed0_aug_fourierbn_relu_32_Normbn.ckpt,equivariant,mnist_rot,0,fourierbn_relu_32,Normbn,True,0.12107200175523758
equivariant_mnist_rot_seed0_noaug_fourierbn_relu_32_Normbn.ckpt,equivariant,mnist_rot,0,fourierbn_relu_32,Normbn,False,0.10917363315820694
equivariant_mnist_rot_seed1_aug_fourierbn_relu_32_Normbn.ckpt,equivariant,mnist_rot,1,fourierbn_relu_32,Normbn,True,0.1205674260854721
equivariant_mnist_rot_seed1_noaug_fourierbn_relu_32_Normbn.ckpt,equivariant,mnist_rot,1,fourierbn_relu_32,Normbn,False,0.11918595433235168
equivariant_mnist_rot_seed2_aug_fourierbn_relu_32_Normbn.ckpt,equivariant,mnist_rot,2,fourierbn_relu_32,Normbn,True,0.11951865255832672
equivariant_mnist_rot_seed2_noaug_fourierbn_relu_32_Normbn.ckpt,equivariant,mnist_rot,2,fourierbn_relu_32,Normbn,False,0.11130768805742264
equivariant_mnist_rot_seed3_aug_fourierbn_relu_32_Normbn.ckpt,equivariant,mnist_rot,3,fourierbn_relu_32,Normbn,True,0.11489810049533844
equivariant_mnist_rot_seed3_noaug_fourierbn_relu_32_Normbn.ckpt,equivariant,mnist_rot,3,fourierbn_relu_32,Normbn,False,0.10802938789129257
equivariant_mnist_rot_seed4_aug_fourierbn_relu_32_Normbn.ckpt,equivariant,mnist_rot,4,fourierbn_relu_32,Normbn,True,0.11531186103820801
equivariant_mnist_rot_seed4_noaug_fourierbn_relu_32_Normbn.ckpt,equivariant,mnist_rot,4,fourierbn_relu_32,Normbn,False,0.11273553967475891
equivariant_mnist_rot_seed0_aug_fourierbn_relu_64_Normbn.ckpt,equivariant,mnist_rot,0,fourierbn_relu_64,Normbn,True,0.11326864361763
equivariant_mnist_rot_seed0_noaug_fourierbn_relu_64_Normbn.ckpt,equivariant,mnist_rot,0,fourierbn_relu_64,Normbn,False,0.10834092646837234
equivariant_mnist_rot_seed1_aug_fourierbn_relu_64_Normbn.ckpt,equivariant,mnist_rot,1,fourierbn_relu_64,Normbn,True,0.12018360197544098
equivariant_mnist_rot_seed1_noaug_fourierbn_relu_64_Normbn.ckpt,equivariant,mnist_rot,1,fourierbn_relu_64,Normbn,False,0.11092155426740646
equivariant_mnist_rot_seed2_aug_fourierbn_relu_64_Normbn.ckpt,equivariant,mnist_rot,2,fourierbn_relu_64,Normbn,True,0.11061172932386398
equivariant_mnist_rot_seed2_noaug_fourierbn_relu_64_Normbn.ckpt,equivariant,mnist_rot,2,fourierbn_relu_64,Normbn,False,0.11282341927289963
equivariant_mnist_rot_seed3_aug_fourierbn_relu_64_Normbn.ckpt,equivariant,mnist_rot,3,fourierbn_relu_64,Normbn,True,0.11199644207954407
equivariant_mnist_rot_seed3_noaug_fourierbn_relu_64_Normbn.ckpt,equivariant,mnist_rot,3,fourierbn_relu_64,Normbn,False,0.10796446353197098
equivariant_mnist_rot_seed4_aug_fourierbn_relu_64_Normbn.ckpt,equivariant,mnist_rot,4,fourierbn_relu_64,Normbn,True,0.11624680459499359
equivariant_mnist_rot_seed4_noaug_fourierbn_relu_64_Normbn.ckpt,equivariant,mnist_rot,4,fourierbn_relu_64,Normbn,False,0.10556730628013611
equivariant_mnist_rot_seed0_aug_fourierbn_relu_8_Normbn.ckpt,equivariant,mnist_rot,0,fourierbn_relu_8,Normbn,True,0.11304643750190735
equivariant_mnist_rot_seed0_noaug_fourierbn_relu_8_Normbn.ckpt,equivariant,mnist_rot,0,fourierbn_relu_8,Normbn,False,0.11102753132581711
equivariant_mnist_rot_seed1_aug_fourierbn_relu_8_Normbn.ckpt,equivariant,mnist_rot,1,fourierbn_relu_8,Normbn,True,0.11967122554779053
equivariant_mnist_rot_seed1_noaug_fourierbn_relu_8_Normbn.ckpt,equivariant,mnist_rot,1,fourierbn_relu_8,Normbn,False,0.1297294944524765
equivariant_mnist_rot_seed2_aug_fourierbn_relu_8_Normbn.ckpt,equivariant,mnist_rot,2,fourierbn_relu_8,Normbn,True,0.13116008043289185
equivariant_mnist_rot_seed2_noaug_fourierbn_relu_8_Normbn.ckpt,equivariant,mnist_rot,2,fourierbn_relu_8,Normbn,False,0.10623114556074142
equivariant_mnist_rot_seed3_aug_fourierbn_relu_8_Normbn.ckpt,equivariant,mnist_rot,3,fourierbn_relu_8,Normbn,True,0.1170625314116478
equivariant_mnist_rot_seed3_noaug_fourierbn_relu_8_Normbn.ckpt,equivariant,mnist_rot,3,fourierbn_relu_8,Normbn,False,0.11414739489555359
equivariant_mnist_rot_seed4_aug_fourierbn_relu_8_Normbn.ckpt,equivariant,mnist_rot,4,fourierbn_relu_8,Normbn,True,0.11977403610944748
equivariant_mnist_rot_seed4_noaug_fourierbn_relu_8_Normbn.ckpt,equivariant,mnist_rot,4,fourierbn_relu_8,Normbn,False,0.12322649359703064
equivariant_mnist_rot_seed0_aug_gated_shared_sigmoid_Normbn.ckpt,equivariant,mnist_rot,0,gated_shared_sigmoid,Normbn,True,0.12403830140829086
equivariant_mnist_rot_seed0_noaug_gated_shared_sigmoid_Normbn.ckpt,equivariant,mnist_rot,0,gated_shared_sigmoid,Normbn,False,0.12689107656478882
equivariant_mnist_rot_seed1_aug_gated_shared_sigmoid_Normbn.ckpt,equivariant,mnist_rot,1,gated_shared_sigmoid,Normbn,True,0.11849360913038254
equivariant_mnist_rot_seed1_noaug_gated_shared_sigmoid_Normbn.ckpt,equivariant,mnist_rot,1,gated_shared_sigmoid,Normbn,False,0.11865942925214767
equivariant_mnist_rot_seed2_aug_gated_shared_sigmoid_Normbn.ckpt,equivariant,mnist_rot,2,gated_shared_sigmoid,Normbn,True,0.12384597212076187
equivariant_mnist_rot_seed2_noaug_gated_shared_sigmoid_Normbn.ckpt,equivariant,mnist_rot,2,gated_shared_sigmoid,Normbn,False,0.12503470480442047
equivariant_mnist_rot_seed3_aug_gated_shared_sigmoid_Normbn.ckpt,equivariant,mnist_rot,3,gated_shared_sigmoid,Normbn,True,0.12620332837104797
equivariant_mnist_rot_seed3_noaug_gated_shared_sigmoid_Normbn.ckpt,equivariant,mnist_rot,3,gated_shared_sigmoid,Normbn,False,0.11146093904972076
equivariant_mnist_rot_seed4_aug_gated_shared_sigmoid_Normbn.ckpt,equivariant,mnist_rot,4,gated_shared_sigmoid,Normbn,True,0.13724273443222046
equivariant_mnist_rot_seed4_noaug_gated_shared_sigmoid_Normbn.ckpt,equivariant,mnist_rot,4,gated_shared_sigmoid,Normbn,False,0.1321018487215042
equivariant_mnist_rot_seed0_aug_gated_sigmoid_Normbn.ckpt,equivariant,mnist_rot,0,gated_sigmoid,Normbn,True,0.14093893766403198
equivariant_mnist_rot_seed0_noaug_gated_sigmoid_Normbn.ckpt,equivariant,mnist_rot,0,gated_sigmoid,Normbn,False,0.14821426570415497
equivariant_mnist_rot_seed1_aug_gated_sigmoid_Normbn.ckpt,equivariant,mnist_rot,1,gated_sigmoid,Normbn,True,0.1421760618686676
equivariant_mnist_rot_seed1_noaug_gated_sigmoid_Normbn.ckpt,equivariant,mnist_rot,1,gated_sigmoid,Normbn,False,0.13943979144096375
equivariant_mnist_rot_seed2_aug_gated_sigmoid_Normbn.ckpt,equivariant,mnist_rot,2,gated_sigmoid,Normbn,True,0.13626310229301453
equivariant_mnist_rot_seed2_noaug_gated_sigmoid_Normbn.ckpt,equivariant,mnist_rot,2,gated_sigmoid,Normbn,False,0.13835202157497406
equivariant_mnist_rot_seed3_aug_gated_sigmoid_Normbn.ckpt,equivariant,mnist_rot,3,gated_sigmoid,Normbn,True,0.14394132792949677
equivariant_mnist_rot_seed3_noaug_gated_sigmoid_Normbn.ckpt,equivariant,mnist_rot,3,gated_sigmoid,Normbn,False,0.13907234370708466
equivariant_mnist_rot_seed4_aug_gated_sigmoid_Normbn.ckpt,equivariant,mnist_rot,4,gated_sigmoid,Normbn,True,0.12839820981025696
equivariant_mnist_rot_seed4_noaug_gated_sigmoid_Normbn.ckpt,equivariant,mnist_rot,4,gated_sigmoid,Normbn,False,0.13745781779289246
equivariant_mnist_rot_seed0_aug_norm_elu_Normbn.ckpt,equivariant,mnist_rot,0,norm_elu,Normbn,True,0.1340254843235016
equivariant_mnist_rot_seed0_noaug_norm_elu_Normbn.ckpt,equivariant,mnist_rot,0,norm_elu,Normbn,False,0.12972646951675415
equivariant_mnist_rot_seed1_aug_norm_elu_Normbn.ckpt,equivariant,mnist_rot,1,norm_elu,Normbn,True,0.12068446725606918
equivariant_mnist_rot_seed1_noaug_norm_elu_Normbn.ckpt,equivariant,mnist_rot,1,norm_elu,Normbn,False,0.13275755941867828
equivariant_mnist_rot_seed2_aug_norm_elu_Normbn.ckpt,equivariant,mnist_rot,2,norm_elu,Normbn,True,0.1203993558883667
equivariant_mnist_rot_seed2_noaug_norm_elu_Normbn.ckpt,equivariant,mnist_rot,2,norm_elu,Normbn,False,0.12332627177238464
equivariant_mnist_rot_seed3_aug_norm_elu_Normbn.ckpt,equivariant,mnist_rot,3,norm_elu,Normbn,True,0.128198504447937
equivariant_mnist_rot_seed3_noaug_norm_elu_Normbn.ckpt,equivariant,mnist_rot,3,norm_elu,Normbn,False,0.12814415991306305
equivariant_mnist_rot_seed4_aug_norm_elu_Normbn.ckpt,equivariant,mnist_rot,4,norm_elu,Normbn,True,0.12101706117391586
equivariant_mnist_rot_seed4_noaug_norm_elu_Normbn.ckpt,equivariant,mnist_rot,4,norm_elu,Normbn,False,0.13325679302215576
equivariant_mnist_rot_seed0_aug_norm_relu_Normbn.ckpt,equivariant,mnist_rot,0,norm_relu,Normbn,True,0.1822725385427475
equivariant_mnist_rot_seed0_noaug_norm_relu_Normbn.ckpt,equivariant,mnist_rot,0,norm_relu,Normbn,False,0.16936814785003662
equivariant_mnist_rot_seed1_aug_norm_relu_Normbn.ckpt,equivariant,mnist_rot,1,norm_relu,Normbn,True,0.1774202436208725
equivariant_mnist_rot_seed1_noaug_norm_relu_Normbn.ckpt,equivariant,mnist_rot,1,norm_relu,Normbn,False,0.17376244068145752
equivariant_mnist_rot_seed2_aug_norm_relu_Normbn.ckpt,equivariant,mnist_rot,2,norm_relu,Normbn,True,0.1755940318107605
equivariant_mnist_rot_seed2_noaug_norm_relu_Normbn.ckpt,equivariant,mnist_rot,2,norm_relu,Normbn,False,0.16370412707328796
equivariant_mnist_rot_seed3_aug_norm_relu_Normbn.ckpt,equivariant,mnist_rot,3,norm_relu,Normbn,True,0.17158158123493195
equivariant_mnist_rot_seed3_noaug_norm_relu_Normbn.ckpt,equivariant,mnist_rot,3,norm_relu,Normbn,False,0.16095545887947083
equivariant_mnist_rot_seed4_aug_norm_relu_Normbn.ckpt,equivariant,mnist_rot,4,norm_relu,Normbn,True,0.17505097389221191
equivariant_mnist_rot_seed4_noaug_norm_relu_Normbn.ckpt,equivariant,mnist_rot,4,norm_relu,Normbn,False,0.17232084274291992
equivariant_mnist_rot_seed0_aug_norm_sigmoid_Normbn.ckpt,equivariant,mnist_rot,0,norm_sigmoid,Normbn,True,0.07738903909921646
equivariant_mnist_rot_seed0_noaug_norm_sigmoid_Normbn.ckpt,equivariant,mnist_rot,0,norm_sigmoid,Normbn,False,0.08664500713348389
equivariant_mnist_rot_seed1_aug_norm_sigmoid_Normbn.ckpt,equivariant,mnist_rot,1,norm_sigmoid,Normbn,True,0.10443688929080963
