dataset,activation,normalization,flip,position,mean_error,std_error,num_seeds,num_angles
eurosat,fourier_elu_16,IIDbn,False,first,0.015452535707026982,0.0013536674519320953,5,32
eurosat,fourier_elu_16,IIDbn,False,middle,0.0473730400630302,0.002389666392772341,5,32
eurosat,fourier_elu_16,IIDbn,False,last,0.020140636061114492,0.0007544211045840627,5,32
eurosat,fourier_elu_16,Normbn,False,first,0.014945856709982762,0.0007829041983660372,5,32
eurosat,fourier_elu_16,Normbn,False,middle,0.05069192336450215,0.0012314253545270108,5,32
eurosat,fourier_elu_16,Normbn,False,last,0.02038069039135735,0.0007053519875714436,5,32
eurosat,fourier_elu_32,IIDbn,False,first,0.015005367121375457,0.0012203918516328885,5,32
eurosat,fourier_elu_32,IIDbn,False,middle,0.04686985161588382,0.0015653516582562006,5,32
eurosat,fourier_elu_32,IIDbn,False,last,0.02067575647997728,0.001493548694700847,5,32
eurosat,fourier_elu_32,Normbn,False,first,0.014812204801000917,0.0007522171152297977,5,32
eurosat,fourier_elu_32,Normbn,False,middle,0.05158656091643934,0.0025470382891236254,5,32
eurosat,fourier_elu_32,Normbn,False,last,0.01974943984150741,0.0004130416342799129,5,32
eurosat,gated_shared_sigmoid,IIDbn,False,first,0.005099115196571802,0.001471566204885572,5,32
eurosat,gated_shared_sigmoid,IIDbn,False,middle,0.05385696499652114,0.0020278182424306322,5,32
eurosat,gated_shared_sigmoid,IIDbn,False,last,0.019529514882196966,0.001578252874164627,5,32
eurosat,gated_shared_sigmoid,Normbn,False,first,0.005411181246108754,0.001350622393536302,5,32
eurosat,gated_shared_sigmoid,Normbn,False,middle,0.05849639889747778,0.003502478528197341,5,32
eurosat,gated_shared_sigmoid,Normbn,False,last,0.02084487680276652,0.0007244442728425184,5,32
