dataset,activation,normalization,flip,position,mean_error,std_error,num_seeds,num_angles
mnist_rot,fourier_elu_16,IIDbn,False,first,0.01849444374351661,0.001135950202054239,5,8
mnist_rot,fourier_elu_16,IIDbn,False,middle,0.016880760780259154,0.00045614980284739993,5,8
mnist_rot,fourier_elu_16,IIDbn,False,last,0.00010346176750317682,3.917795335135128e-06,5,8
mnist_rot,fourier_elu_16,Normbn,False,first,0.018610886671280812,0.0011472158586695873,5,8
mnist_rot,fourier_elu_16,Normbn,False,middle,0.017645124344926447,0.0005220785575054092,5,8
mnist_rot,fourier_elu_16,Normbn,False,last,0.00010302185473847203,2.4662472824592528e-06,5,8
mnist_rot,fourier_elu_32,IIDbn,False,first,0.018311492818607177,0.0011016885672591702,5,8
mnist_rot,fourier_elu_32,IIDbn,False,middle,0.016659700472519034,0.0009917778847900898,5,8
mnist_rot,fourier_elu_32,IIDbn,False,last,0.00015796943334862588,5.258656934601286e-06,5,8
mnist_rot,fourier_elu_32,Normbn,False,first,0.018312396276203024,0.0010687100042400918,5,8
mnist_rot,fourier_elu_32,Normbn,False,middle,0.017081593464536124,0.0005257601500523594,5,8
mnist_rot,fourier_elu_32,Normbn,False,last,0.00015581468469463288,7.6177531186952986e-06,5,8
mnist_rot,gated_shared_sigmoid,IIDbn,False,first,0.018573610112071037,0.0038581979013027025,5,8
mnist_rot,gated_shared_sigmoid,IIDbn,False,middle,0.024752414523391053,0.0015524367344213925,5,8
mnist_rot,gated_shared_sigmoid,IIDbn,False,last,0.000136940033553401,1.4705906303268943e-05,5,8
mnist_rot,gated_shared_sigmoid,Normbn,False,first,0.01891645393334329,0.003651933425013698,5,8
mnist_rot,gated_shared_sigmoid,Normbn,False,middle,0.02479920643745572,0.0014499273367650704,5,8
mnist_rot,gated_shared_sigmoid,Normbn,False,last,0.00013469638215610758,1.3781539930720365e-05,5,8
mnist_rot,gated_sigmoid,IIDbn,False,first,0.017093572206795214,0.0013749257735734583,5,8
mnist_rot,gated_sigmoid,IIDbn,False,middle,0.023682896249374606,0.0015594170703592519,5,8
mnist_rot,gated_sigmoid,IIDbn,False,last,0.00013491410936694592,1.0075606120680154e-05,5,8
mnist_rot,gated_sigmoid,Normbn,False,first,0.017884844262152907,0.0015264574770923888,5,8
mnist_rot,gated_sigmoid,Normbn,False,middle,0.023360602803586518,0.0009574199627996044,5,8
mnist_rot,gated_sigmoid,Normbn,False,last,0.0001440366482711397,8.401496281297366e-06,5,8
mnist_rot,norm_relu,IIDbn,False,first,0.0756352573633194,0.0028602434466442864,5,8
mnist_rot,norm_relu,IIDbn,False,middle,0.05965087000877247,0.0011283348238281385,5,8
mnist_rot,norm_relu,IIDbn,False,last,0.00018001741991611198,7.321601810148773e-06,5,8
mnist_rot,norm_relu,Normbn,False,first,0.0715413473546505,0.0018115666198981744,5,8
mnist_rot,norm_relu,Normbn,False,middle,0.05620710327348206,0.0013866803165614367,5,8
mnist_rot,norm_relu,Normbn,False,last,0.00018764524575090035,1.2621056951033146e-05,5,8
mnist_rot,norm_squash,IIDbn,False,first,0.03553386908024549,0.0006330689245493185,5,8
mnist_rot,norm_squash,IIDbn,False,middle,0.03213814722257666,0.0011101454041306945,5,8
mnist_rot,norm_squash,IIDbn,False,last,0.00011400842340663074,5.764271364300872e-06,5,8
mnist_rot,norm_squash,Normbn,False,first,0.03558630254119635,0.0008587117030906504,5,8
mnist_rot,norm_squash,Normbn,False,middle,0.03283513453461637,0.0010474365186976832,5,8
mnist_rot,norm_squash,Normbn,False,last,0.00011085660953540355,4.682827177282977e-06,5,8
mnist_rot,normbn_relu,Normbn,False,first,0.0945256758481264,0.005563294833939866,5,8
mnist_rot,normbn_relu,Normbn,False,middle,0.06938442750833929,0.0016914645837159395,5,8
mnist_rot,normbn_relu,Normbn,False,last,0.00021922618325334042,1.4173265946518495e-05,5,8
eurosat,fourier_elu_16,IIDbn,False,first,0.015452535707026982,0.0013536674519320953,5,32
eurosat,fourier_elu_16,IIDbn,False,middle,0.0473730400630302,0.002389666392772341,5,32
eurosat,fourier_elu_16,IIDbn,False,last,0.020140636061114492,0.0007544211045840627,5,32
mnist_rot,fourier_elu_16,IIDbn,False,first,0.022152044722497523,0.0012665055959204309,5,32
mnist_rot,fourier_elu_16,IIDbn,False,middle,0.026447260626082426,0.0007430524307359772,5,32
mnist_rot,fourier_elu_16,IIDbn,False,last,4.3750725671998227e-05,2.4132039439604094e-07,5,32
mnist_rot,fourier_elu_16,Normbn,False,first,0.022346301883771957,0.001380783611430856,5,32
mnist_rot,fourier_elu_16,Normbn,False,middle,0.027435586286810573,0.0007363385315062149,5,32
mnist_rot,fourier_elu_16,Normbn,False,last,4.3785773414128926e-05,2.0408894314542934e-07,5,32
mnist_rot,fourier_elu_32,IIDbn,False,first,0.021054624762291495,0.0012749604541872923,5,32
mnist_rot,fourier_elu_32,IIDbn,False,middle,0.025237437032956223,0.001327320929399932,5,32
mnist_rot,fourier_elu_32,IIDbn,False,last,4.1665025855763814e-05,5.150611010843958e-07,5,32
mnist_rot,fourier_elu_32,Normbn,False,first,0.021160019997932975,0.0012998363127043728,5,32
mnist_rot,fourier_elu_32,Normbn,False,middle,0.026002494878594008,0.0005066235609138546,5,32
mnist_rot,fourier_elu_32,Normbn,False,last,4.1688834244268946e-05,2.183002907929385e-07,5,32
mnist_rot,gated_shared_sigmoid,IIDbn,False,first,0.022172119438710072,0.0036673092464517276,5,32
mnist_rot,gated_shared_sigmoid,IIDbn,False,middle,0.03659451423554856,0.002480357762653492,5,32
mnist_rot,gated_shared_sigmoid,IIDbn,False,last,3.3447343594161796e-05,4.1797663268843233e-07,5,32
mnist_rot,gated_shared_sigmoid,Normbn,False,first,0.02240166763494926,0.003477700677071129,5,32
mnist_rot,gated_shared_sigmoid,Normbn,False,middle,0.036134838215912166,0.0016278259190411948,5,32
mnist_rot,gated_shared_sigmoid,Normbn,False,last,3.336660302011296e-05,5.142879127427799e-07,5,32
mnist_rot,gated_sigmoid,IIDbn,False,first,0.020358413758458482,0.0016715894121163651,5,32
mnist_rot,gated_sigmoid,IIDbn,False,middle,0.035572222662813145,0.0013218877490279771,5,32
mnist_rot,gated_sigmoid,IIDbn,False,last,3.337800590088591e-05,4.6409968398479e-07,5,32
